subject_id,n_vertices,n_faces,non_manifold_edges,boundary_edges,status
sub-106420100_ses-2,60053,119874,0,230,OK
sub-106422100_ses-1,60074,119849,5,302,NON_MANIFOLD
sub-106422100_ses-2,60078,119851,3,306,NON_MANIFOLD
sub-106422100_ses-3,60075,119856,7,299,NON_MANIFOLD
sub-106431200_ses-1,60067,119864,6,274,NON_MANIFOLD
sub-106431200_ses-2,60064,119868,4,262,NON_MANIFOLD
sub-106431200_ses-3,60064,119878,4,252,NON_MANIFOLD
sub-106431200_ses-4,60071,119874,8,274,NON_MANIFOLD
sub-106431200_ses-5,60075,119864,3,287,NON_MANIFOLD
sub-106579100_ses-1,60069,119864,1,273,NON_MANIFOLD
sub-106579100_ses-4,60073,119866,2,280,NON_MANIFOLD
sub-106579100_ses-5,60079,119863,2,295,NON_MANIFOLD
sub-106580100_ses-1,60068,119871,7,270,NON_MANIFOLD
sub-106591100_ses-1,60064,119879,2,249,NON_MANIFOLD
sub-106591100_ses-4,60079,119883,2,275,NON_MANIFOLD
sub-106644200_ses-1,60072,119866,4,280,NON_MANIFOLD
sub-106644200_ses-2,60070,119867,3,274,NON_MANIFOLD
sub-106644200_ses-4,60079,119871,5,290,NON_MANIFOLD
sub-106648100_ses-1,60068,119875,4,263,NON_MANIFOLD
sub-106648100_ses-2,60067,119877,4,259,NON_MANIFOLD
sub-106651100_ses-1,60069,119871,2,267,NON_MANIFOLD
sub-106675100_ses-1,60063,119881,2,245,NON_MANIFOLD
sub-106675100_ses-2,60072,119886,6,262,NON_MANIFOLD
sub-106677100_ses-1,60069,119879,4,261,NON_MANIFOLD
sub-106677100_ses-2,60070,119887,3,254,NON_MANIFOLD
sub-106677100_ses-3,60072,119889,2,255,NON_MANIFOLD
sub-106677100_ses-5,60090,119885,3,296,NON_MANIFOLD
sub-106682100_ses-1,60060,119870,2,250,NON_MANIFOLD
sub-106682100_ses-4,60069,119879,4,261,NON_MANIFOLD
sub-106687200_ses-1,60067,119868,2,266,NON_MANIFOLD
sub-106687200_ses-2,60067,119870,1,263,NON_MANIFOLD
sub-106687200_ses-3,60067,119862,5,275,NON_MANIFOLD
sub-106687200_ses-4,60071,119870,1,271,NON_MANIFOLD
sub-106716100_ses-1,60059,119885,2,233,NON_MANIFOLD
sub-106716100_ses-4,60074,119885,2,263,NON_MANIFOLD
sub-106740100_ses-1,60070,119864,1,275,NON_MANIFOLD
sub-106740100_ses-2,60068,119866,1,269,NON_MANIFOLD
sub-106740100_ses-3,60060,119878,0,240,OK
sub-106825100_ses-1,60057,119881,3,234,NON_MANIFOLD
sub-106825100_ses-4,60072,119881,4,265,NON_MANIFOLD
sub-106826100_ses-1,60078,119869,3,288,NON_MANIFOLD
sub-106826100_ses-3,60078,119881,4,277,NON_MANIFOLD
sub-106826100_ses-4,60085,119877,1,292,NON_MANIFOLD
sub-106826100_ses-5,60079,119878,2,280,NON_MANIFOLD
sub-106845100_ses-1,60067,119871,1,262,NON_MANIFOLD
sub-106845100_ses-2,60064,119883,0,243,OK
sub-106947100_ses-1,60066,119867,4,267,NON_MANIFOLD
sub-106947100_ses-2,60068,119875,2,261,NON_MANIFOLD
sub-106947100_ses-5,60079,119866,4,294,NON_MANIFOLD
sub-106966100_ses-1,60066,119865,3,268,NON_MANIFOLD
sub-106966100_ses-4,60071,119879,1,262,NON_MANIFOLD
sub-106967100_ses-1,60068,119859,2,277,NON_MANIFOLD
sub-106970100_ses-1,60060,119867,2,253,NON_MANIFOLD
sub-106970100_ses-2,60064,119870,2,258,NON_MANIFOLD
sub-106971100_ses-1,60069,119864,1,273,NON_MANIFOLD
sub-106972100_ses-1,60058,119864,2,252,NON_MANIFOLD
sub-106972100_ses-2,60056,119873,2,239,NON_MANIFOLD
sub-106972100_ses-3,60068,119866,2,270,NON_MANIFOLD
sub-106972100_ses-4,60067,119867,2,267,NON_MANIFOLD
sub-106974100_ses-1,60071,119859,5,286,NON_MANIFOLD
sub-106993100_ses-1,60062,119883,1,240,NON_MANIFOLD
sub-106993100_ses-2,60062,119887,3,238,NON_MANIFOLD
sub-106993100_ses-3,60071,119885,4,259,NON_MANIFOLD
sub-106993100_ses-4,60065,119875,4,257,NON_MANIFOLD
sub-106994100_ses-1,60073,119865,3,282,NON_MANIFOLD
sub-106994100_ses-2,60072,119868,2,276,NON_MANIFOLD
sub-106994100_ses-3,60081,119873,8,295,NON_MANIFOLD
sub-106996100_ses-1,60074,119878,0,268,OK
sub-106996100_ses-4,60076,119890,6,266,NON_MANIFOLD
sub-106997100_ses-1,60066,119860,0,270,OK
sub-107004100_ses-1,60063,119859,3,268,NON_MANIFOLD
sub-107004100_ses-2,60061,119863,1,258,NON_MANIFOLD
sub-107004100_ses-3,60062,119868,2,256,NON_MANIFOLD
sub-107183100_ses-1,60062,119881,2,243,NON_MANIFOLD
sub-107183100_ses-2,60067,119882,2,252,NON_MANIFOLD
sub-107183100_ses-3,60068,119886,1,249,NON_MANIFOLD
sub-107183100_ses-4,60074,119884,3,265,NON_MANIFOLD
